[1116/125812:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1116/131307:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1116/135140:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1116/135321:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1116/142352:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1116/142425:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1116/142709:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1116/142757:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1116/142853:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1116/142945:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1116/143513:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1116/143923:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1116/144046:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1116/144259:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1116/144428:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1116/152059:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1116/153641:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1116/173024:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1116/173134:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1116/175951:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1116/180135:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1116/190745:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1116/202839:ERROR:file_io.cc(30)] read: expected 4, observed 0
